NAME                                                                                 VERSION                                   TYPE      
github.com/blang/semver                                                              v3.5.1+incompatible                       go-module  
github.com/blang/semver/v4                                                           v4.0.0                                    go-module  
github.com/bmatcuk/doublestar/v4                                                     v4.8.1                                    go-module  
github.com/briandowns/spinner                                                        v1.23.0                                   go-module  
github.com/cenkalti/backoff/v4                                                       v4.3.0                                    go-module  
github.com/census-instrumentation/opencensus-proto                                   v0.4.1                                    go-module  
github.com/cespare/xxhash/v2                                                         v2.3.0                                    go-module  
github.com/chai2010/gettext-go                                                       v1.0.2                                    go-module  
github.com/cheggaaa/pb/v3                                                            v3.1.7                                    go-module  
github.com/cloudflare/circl                                                          v1.6.0                                    go-module  
github.com/cncf/xds/go                                                               v0.0.0-20240905190251-b4127c9b8d78        go-module  
github.com/containerd/containerd                                                     v1.7.27                                   go-module  
github.com/containerd/containerd/api                                                 v1.8.0                                    go-module  
github.com/containerd/containerd/v2                                                  v2.0.4                                    go-module  
github.com/containerd/continuity                                                     v0.4.5                                    go-module  
github.com/containerd/errdefs                                                        v1.0.0                                    go-module  
github.com/containerd/errdefs/pkg                                                    v0.3.0                                    go-module  
github.com/containerd/fifo                                                           v1.1.0                                    go-module  
github.com/containerd/log                                                            v0.1.0                                    go-module  
github.com/containerd/platforms                                                      v1.0.0-rc.1                               go-module  
github.com/containerd/plugin                                                         v1.0.0                                    go-module  
github.com/containerd/stargz-snapshotter/estargz                                     v0.16.3                                   go-module  
github.com/containerd/ttrpc                                                          v1.2.7                                    go-module  
github.com/containerd/typeurl/v2                                                     v2.2.3                                    go-module  
github.com/cyberphone/json-canonicalization                                          v0.0.0-20231011164504-785e29786b46        go-module  
github.com/cyphar/filepath-securejoin                                                v0.4.1                                    go-module  
github.com/davecgh/go-spew                                                           v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/dgryski/go-rendezvous                                                     v0.0.0-20200823014737-9f7001d12a5f        go-module  
github.com/digitorus/pkcs7                                                           v0.0.0-20230818184609-3a137a874352        go-module  
github.com/digitorus/timestamp                                                       v0.0.0-20231217203849-220c5c2851b7        go-module  
github.com/distribution/reference                                                    v0.6.0                                    go-module  
github.com/dlclark/regexp2                                                           v1.4.0                                    go-module  
github.com/docker/cli                                                                v27.5.0+incompatible                      go-module  
github.com/docker/distribution                                                       v2.8.3+incompatible                       go-module  
github.com/docker/docker                                                             v27.5.1+incompatible                      go-module  
github.com/docker/docker-credential-helpers                                          v0.8.2                                    go-module  
github.com/docker/go-connections                                                     v0.5.0                                    go-module  
github.com/docker/go-metrics                                                         v0.0.1                                    go-module  
github.com/docker/go-units                                                           v0.5.0                                    go-module  
github.com/dsnet/compress                                                            v0.0.2-0.20230904184137-39efe44ab707      go-module  
github.com/dustin/go-humanize                                                        v1.0.1                                    go-module  
github.com/emicklei/go-restful/v3                                                    v3.11.0                                   go-module  
github.com/emirpasic/gods                                                            v1.18.1                                   go-module  
github.com/envoyproxy/go-control-plane                                               v0.13.1                                   go-module  
github.com/envoyproxy/protoc-gen-validate                                            v1.1.0                                    go-module  
github.com/evanphx/json-patch                                                        v5.9.0+incompatible                       go-module  
github.com/exponent-io/jsonpath                                                      v0.0.0-20210407135951-1de76d718b3f        go-module  
github.com/fatih/color                                                               v1.18.0                                   go-module  
github.com/felixge/httpsnoop                                                         v1.0.4                                    go-module  
github.com/fsnotify/fsnotify                                                         v1.8.0                                    go-module  
github.com/fxamacker/cbor/v2                                                         v2.7.0                                    go-module  
github.com/go-chi/chi                                                                v4.1.2+incompatible                       go-module  
github.com/go-errors/errors                                                          v1.4.2                                    go-module  
github.com/go-git/gcfg                                                               v1.5.1-0.20230307220236-3a3c6141e376      go-module  
github.com/go-git/go-billy/v5                                                        v5.6.2                                    go-module  
github.com/go-git/go-git/v5                                                          v5.14.0                                   go-module  
github.com/go-gorp/gorp/v3                                                           v3.1.0                                    go-module  
github.com/go-ini/ini                                                                v1.67.0                                   go-module  
github.com/go-jose/go-jose/v4                                                        v4.0.5                                    go-module  
github.com/go-json-experiment/json                                                   v0.0.0-20250211171154-1ae217ad3535        go-module  
github.com/go-logr/logr                                                              v1.4.2                                    go-module  
github.com/go-logr/stdr                                                              v1.2.2                                    go-module  
github.com/go-openapi/analysis                                                       v0.23.0                                   go-module  
github.com/go-openapi/errors                                                         v0.22.0                                   go-module  
github.com/go-openapi/jsonpointer                                                    v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                                                  v0.21.0                                   go-module  
github.com/go-openapi/loads                                                          v0.22.0                                   go-module  
github.com/go-openapi/runtime                                                        v0.28.0                                   go-module  
github.com/go-openapi/spec                                                           v0.21.0                                   go-module  
github.com/go-openapi/strfmt                                                         v0.23.0                                   go-module  
github.com/go-openapi/swag                                                           v0.23.0                                   go-module  
github.com/go-openapi/validate                                                       v0.24.0                                   go-module  
github.com/go-redis/redis/v8                                                         v8.11.5                                   go-module  
github.com/go-viper/mapstructure/v2                                                  v2.2.1                                    go-module  
github.com/gobwas/glob                                                               v0.2.3                                    go-module  
github.com/gocsaf/csaf/v3                                                            v3.1.1                                    go-module  
github.com/gogo/protobuf                                                             v1.3.2                                    go-module  
github.com/golang-jwt/jwt/v4                                                         v4.5.2                                    go-module  
github.com/golang-jwt/jwt/v5                                                         v5.2.2                                    go-module  
github.com/golang/groupcache                                                         v0.0.0-20241129210726-2c02b8208cf8        go-module  
github.com/golang/protobuf                                                           v1.5.4                                    go-module  
github.com/golang/snappy                                                             v0.0.4                                    go-module  
github.com/google/btree                                                              v1.1.2                                    go-module  
github.com/google/certificate-transparency-go                                        v1.1.8                                    go-module  
github.com/google/gnostic-models                                                     v0.6.9-0.20230804172637-c7be7c783f49      go-module  
github.com/google/go-cmp                                                             v0.7.0                                    go-module  
github.com/google/go-containerregistry                                               v0.20.3                                   go-module  
github.com/google/go-github/v62                                                      v62.0.0                                   go-module  
github.com/google/go-querystring                                                     v1.1.0                                    go-module  
github.com/google/gofuzz                                                             v1.2.0                                    go-module  
github.com/google/licenseclassifier/v2                                               v2.0.0                                    go-module  
github.com/google/s2a-go                                                             v0.1.9                                    go-module  
github.com/google/shlex                                                              v0.0.0-20191202100458-e7afc7fbc510        go-module  
github.com/google/uuid                                                               v1.6.0                                    go-module  
github.com/google/wire                                                               v0.6.0                                    go-module  
github.com/googleapis/enterprise-certificate-proxy                                   v0.3.4                                    go-module  
github.com/googleapis/gax-go/v2                                                      v2.14.1                                   go-module  
github.com/gorilla/mux                                                               v1.8.1                                    go-module  
github.com/gorilla/websocket                                                         v1.5.0                                    go-module  
github.com/gosuri/uitable                                                            v0.0.4                                    go-module  
github.com/gregjones/httpcache                                                       v0.0.0-20190611155906-901d90724c79        go-module  
github.com/hashicorp/errwrap                                                         v1.1.0                                    go-module  
github.com/hashicorp/go-cleanhttp                                                    v0.5.2                                    go-module  
github.com/hashicorp/go-getter                                                       v1.7.8                                    go-module  
github.com/hashicorp/go-multierror                                                   v1.1.1                                    go-module  
github.com/hashicorp/go-retryablehttp                                                v0.7.7                                    go-module  
github.com/hashicorp/go-safetemp                                                     v1.0.0                                    go-module  
github.com/hashicorp/go-uuid                                                         v1.0.3                                    go-module  
github.com/hashicorp/go-version                                                      v1.7.0                                    go-module  
github.com/hashicorp/golang-lru/v2                                                   v2.0.7                                    go-module  
github.com/hashicorp/hcl/v2                                                          v2.23.0                                   go-module  
github.com/huandu/xstrings                                                           v1.5.0                                    go-module  
github.com/in-toto/in-toto-golang                                                    v0.9.0                                    go-module  
github.com/jbenet/go-context                                                         v0.0.0-20150711004518-d14ea06fba99        go-module  
github.com/jedisct1/go-minisign                                                      v0.0.0-20230811132847-661be99b8267        go-module  
github.com/jmespath/go-jmespath                                                      v0.4.1-0.20220621161143-b0104c826a24      go-module  
github.com/jmoiron/sqlx                                                              v1.4.0                                    go-module  
github.com/josharian/intern                                                          v1.0.0                                    go-module  
github.com/json-iterator/go                                                          v1.1.12                                   go-module  
github.com/kevinburke/ssh_config                                                     v1.2.0                                    go-module  
github.com/klauspost/compress                                                        v1.17.11                                  go-module  
github.com/knqyf263/go-apk-version                                                   v0.0.0-20200609155635-041fdbb8563f        go-module  
github.com/knqyf263/go-deb-version                                                   v0.0.0-20241115132648-6f4aee6ccd23        go-module  
github.com/knqyf263/go-rpm-version                                                   v0.0.0-20220614171824-631e686d1075        go-module  
github.com/knqyf263/go-rpmdb                                                         v0.1.1                                    go-module  
github.com/knqyf263/nested                                                           v0.0.1                                    go-module  
github.com/kylelemons/godebug                                                        v1.1.0                                    go-module  
github.com/lann/builder                                                              v0.0.0-20180802200727-47ae307949d0        go-module  
github.com/lann/ps                                                                   v0.0.0-20150810152359-62de8c46ede0        go-module  
github.com/letsencrypt/boulder                                                       v0.0.0-20240620165639-de9c06129bec        go-module  
